currency,ticker,name,type,tenor,floating_leg_tenor,Floating leg
JPY,JYBC2 Curncy,JPY BASIS 3v6 2YR,TS,2y,3v6,3M JPY Libor vs 6M JPY Libor
JPY,JYBC3 Curncy,JPY BASIS 3v6 3YR,TS,3y,3v6,3M JPY Libor vs 6M JPY Libor
JPY,JYBC4 Curncy,JPY BASIS 3v6 4YR,TS,4y,3v6,3M JPY Libor vs 6M JPY Libor
JPY,JYBC5 Curncy,JPY BASIS 3v6 5YR,TS,5y,3v6,3M JPY Libor vs 6M JPY Libor
JPY,JYBC6 Curncy,JPY BASIS 3v6 6YR,TS,6y,3v6,3M JPY Libor vs 6M JPY Libor
JPY,JYBC7 Curncy,JPY BASIS 3v6 7YR,TS,7y,3v6,3M JPY Libor vs 6M JPY Libor
JPY,JYBC8 Curncy,JPY BASIS 3v6 8YR,TS,8y,3v6,3M JPY Libor vs 6M JPY Libor
JPY,JYBC9 Curncy,JPY BASIS 3v6 9YR,TS,9y,3v6,3M JPY Libor vs 6M JPY Libor
JPY,JYBC10 Curncy,JPY BASIS 3v6 10YR,TS,10y,3v6,3M JPY Libor vs 6M JPY Libor
JPY,JYBC15 Curncy,JPY BASIS 3v6 15YR,TS,15y,3v6,3M JPY Libor vs 6M JPY Libor
JPY,JYBC20 Curncy,JPY BASIS 3v6 20YR,TS,20y,3v6,3M JPY Libor vs 6M JPY Libor
JPY,JYBC30 Curncy,JPY BASIS 3v6 30YR,TS,30y,3v6,3M JPY Libor vs 6M JPY Libor
USD,USSWAP1 Curncy,USD SWAP SEMI 30/360 1YR,IRS,1y,3m,3M US Libor
USD,USSWAP2 Curncy,USD SWAP SEMI 30/360 2YR,IRS,2y,3m,3M US Libor
USD,USSWAP3 Curncy,USD SWAP SEMI 30/360 3YR,IRS,3y,3m,3M US Libor
USD,USSWAP4 Curncy,USD SWAP SEMI 30/360 4YR,IRS,4y,3m,3M US Libor
USD,USSWAP5 Curncy,USD SWAP SEMI 30/360 5YR,IRS,5y,3m,3M US Libor
USD,USSWAP6 Curncy,USD SWAP SEMI 30/360 6YR,IRS,6y,3m,3M US Libor
USD,USSWAP7 Curncy,USD SWAP SEMI 30/360 7YR,IRS,7y,3m,3M US Libor
USD,USSWAP8 Curncy,USD SWAP SEMI 30/360 8YR,IRS,8y,3m,3M US Libor
USD,USSWAP9 Curncy,USD SWAP SEMI 30/360 9YR,IRS,9y,3m,3M US Libor
USD,USSWAP10 Curncy,USD SWAP SEMI 30/360 10Y,IRS,10y,3m,3M US Libor
USD,USSWAP15 Curncy,USD SWAP SEMI 30/360 15Y,IRS,15y,3m,3M US Libor
USD,USSWAP20 Curncy,USD SWAP SEMI 30/360 20Y,IRS,20y,3m,3M US Libor
USD,USSWAP30 Curncy,USD SWAP SEMI 30/360 30Y,IRS,30y,3m,3M US Libor
